date,channel,campaign,spend,impressions,clicks,conversions,revenue
2026-07-01,google_search,Brand - Search,209.27,13947,803,55,5477.27
2026-07-01,google_search,Category - Search,126.01,8929,284,17,1631.56
2026-07-01,meta,Retargeting - Stories,212.21,22042,424,17,1007.01
2026-07-01,tiktok,Spark Ads - Launch,96.07,10812,254,6,410.15
2026-07-01,email,Newsletter - Weekly,16.86,8297,208,12,1189.72
2026-07-01,affiliate,Partner - Bloggers,50.41,6656,166,9,663.4
2026-07-02,google_search,Brand - Search,191.74,12254,614,44,4013.05
2026-07-02,google_search,Category - Search,208.52,17434,687,62,4363.35
2026-07-02,meta,Prospecting - Feed,74.26,6789,62,3,201.42
2026-07-02,meta,Retargeting - Stories,56.89,6580,127,3,256.98
2026-07-02,tiktok,Spark Ads - Launch,74.74,8232,165,5,213.39
2026-07-02,email,Newsletter - Weekly,19.59,6829,205,8,672.03
2026-07-02,affiliate,Partner - Bloggers,89.69,11442,234,11,810.54
2026-07-03,google_search,Brand - Search,209.97,18780,1071,55,3990.04
2026-07-03,google_search,Category - Search,255.56,19254,748,57,4368.37
2026-07-03,meta,Prospecting - Feed,201.89,22914,385,17,1564.56
2026-07-03,meta,Retargeting - Stories,210.63,17427,268,9,622.44
2026-07-03,tiktok,Spark Ads - Launch,111.55,13359,287,9,457.37
2026-07-03,email,Newsletter - Weekly,25.65,11046,244,12,807.48
2026-07-03,affiliate,Partner - Bloggers,26.49,4258,72,3,210.19
2026-07-04,google_search,Brand - Search,197.39,14783,467,41,3413.21
2026-07-04,google_search,Category - Search,209.07,15951,898,57,5383.54
2026-07-04,meta,Prospecting - Feed,102.78,9965,158,3,191.36
2026-07-04,meta,Retargeting - Stories,101.57,10680,181,5,352.73
2026-07-04,tiktok,Spark Ads - Launch,119.84,17675,210,5,313.38
2026-07-04,email,Newsletter - Weekly,21.39,6081,180,11,1066.96
2026-07-04,affiliate,Partner - Bloggers,63.78,12204,347,19,1405.65
2026-07-05,google_search,Brand - Search,182.25,18162,893,45,4922.83
2026-07-05,google_search,Category - Search,161.05,13264,479,37,3423.87
2026-07-05,meta,Prospecting - Feed,94.03,10755,120,4,311.03
2026-07-05,meta,Retargeting - Stories,205.02,28293,352,7,640.28
2026-07-05,email,Newsletter - Weekly,34.5,13488,499,21,1454.7
2026-07-05,affiliate,Partner - Bloggers,85.64,20434,377,17,1106.87
2026-07-06,google_search,Brand - Search,202.19,15778,485,30,2556.98
2026-07-06,google_search,Category - Search,65.91,4752,166,9,792.28
2026-07-06,meta,Prospecting - Feed,91.48,14691,228,5,425.36
2026-07-06,meta,Retargeting - Stories,66.78,5773,57,2,175.65
2026-07-06,tiktok,Spark Ads - Launch,94.2,12294,168,5,334.59
2026-07-06,email,Newsletter - Weekly,32.86,13587,382,18,1422.39
2026-07-06,affiliate,Partner - Bloggers,42.22,10203,224,7,481.5
2026-07-07,google_search,Brand - Search,86.38,7560,243,16,1280.98
2026-07-07,google_search,Category - Search,120.24,8155,450,24,1946.85
2026-07-07,meta,Prospecting - Feed,92.22,9187,144,7,627.83
2026-07-07,meta,Retargeting - Stories,121.2,18472,155,6,349.76
2026-07-07,tiktok,Spark Ads - Launch,84.77,16096,267,9,586.67
2026-07-07,email,Newsletter - Weekly,20.69,6739,215,10,926.12
2026-07-07,affiliate,Partner - Bloggers,85,10272,275,9,616.13
2026-07-08,google_search,Brand - Search,181.42,13103,533,42,3929.1
2026-07-08,google_search,Category - Search,89.14,10419,547,45,3322.44
2026-07-08,meta,Prospecting - Feed,57.75,6979,57,1,87.37
2026-07-08,meta,Retargeting - Stories,103.68,13187,145,4,370.51
2026-07-08,tiktok,Spark Ads - Launch,86.96,14466,233,5,255.22
2026-07-08,email,Newsletter - Weekly,21.97,7772,222,12,972.07
2026-07-08,affiliate,Partner - Bloggers,24.98,4126,100,3,181.1
2026-07-09,google_search,Brand - Search,193.23,12696,746,45,4107.26
2026-07-09,google_search,Category - Search,166.15,14904,762,40,4161.92
2026-07-09,meta,Prospecting - Feed,186.72,29111,567,18,1671.78
2026-07-09,meta,Retargeting - Stories,109.77,8466,116,2,117.71
2026-07-09,tiktok,Spark Ads - Launch,93.04,17389,306,6,402.55
2026-07-09,email,Newsletter - Weekly,19.09,5579,174,7,646.92
2026-07-09,affiliate,Partner - Bloggers,67.51,8662,235,12,941.39
2026-07-10,google_search,Brand - Search,222.96,16421,662,38,3495.24
2026-07-10,google_search,Category - Search,238.63,20276,1076,79,5589.67
2026-07-10,meta,Prospecting - Feed,127.21,10336,178,5,287.94
2026-07-10,meta,Retargeting - Stories,148.31,12080,175,7,625.01
2026-07-10,tiktok,Spark Ads - Launch,108.92,13951,216,8,328.18
2026-07-10,email,Newsletter - Weekly,15.08,6211,218,13,1259.72
2026-07-11,google_search,Brand - Search,255.46,30388,1204,84,9065.57
2026-07-11,meta,Prospecting - Feed,50.73,5066,84,3,241.25
2026-07-11,meta,Retargeting - Stories,178.52,14038,123,5,286.23
2026-07-11,tiktok,Spark Ads - Launch,126.24,13358,234,4,195.63
2026-07-11,email,Newsletter - Weekly,28.47,11403,255,12,879.45
2026-07-11,affiliate,Partner - Bloggers,23.4,3244,83,3,221.85
2026-07-12,google_search,Brand - Search,131.17,8330,253,16,1708.97
2026-07-12,google_search,Category - Search,120.39,9631,346,20,2184.2
2026-07-12,meta,Prospecting - Feed,81.74,12436,162,7,489.72
2026-07-12,meta,Retargeting - Stories,218.38,20645,300,13,922.28
2026-07-12,tiktok,Spark Ads - Launch,83.65,10628,121,2,95.33
2026-07-12,email,Newsletter - Weekly,25.11,7073,179,10,726.6
2026-07-12,affiliate,Partner - Bloggers,74.85,13023,255,10,707.75
2026-07-13,google_search,Brand - Search,248,26980,1287,79,8268.26
2026-07-13,google_search,Category - Search,204.89,12816,629,51,5164.73
2026-07-13,meta,Retargeting - Stories,96.09,13021,153,6,518.18
2026-07-13,tiktok,Spark Ads - Launch,80.58,8755,171,5,334.2
2026-07-13,affiliate,Partner - Bloggers,65.21,7693,187,9,734.67
2026-07-14,google_search,Brand - Search,99.35,6342,327,20,1426.47
2026-07-14,meta,Prospecting - Feed,163.61,20228,297,7,659.91
2026-07-14,meta,Retargeting - Stories,211.37,28602,322,11,948.23
2026-07-14,tiktok,Spark Ads - Launch,102.13,12765,170,6,288.35
2026-07-14,email,Newsletter - Weekly,34.19,8711,312,10,998.03
2026-07-14,affiliate,Partner - Bloggers,70.54,14890,413,16,1389.82
2026-07-15,google_search,Brand - Search,146.41,17201,1024,66,6706.68
2026-07-15,meta,Prospecting - Feed,87.32,9287,135,4,256.03
2026-07-15,meta,Retargeting - Stories,197.33,30140,469,11,642.01
2026-07-15,tiktok,Spark Ads - Launch,92.58,17001,329,9,535.94
2026-07-15,email,Newsletter - Weekly,26.22,12747,366,15,1399.89
2026-07-15,affiliate,Partner - Bloggers,50.49,8995,211,7,429.3
2026-07-16,google_search,Brand - Search,90.51,5942,280,22,2086.12
2026-07-16,meta,Prospecting - Feed,211.52,21606,232,9,589.5
2026-07-16,meta,Retargeting - Stories,186.45,28765,257,11,945.16
2026-07-16,tiktok,Spark Ads - Launch,93.22,12259,290,9,579.76
2026-07-16,affiliate,Partner - Bloggers,70.82,9101,240,14,923.9
2026-07-17,google_search,Brand - Search,208.99,20810,809,43,3658.76
2026-07-17,google_search,Category - Search,116.52,13870,766,64,4565.04
2026-07-17,meta,Prospecting - Feed,160.94,13168,125,4,347.18
2026-07-17,meta,Retargeting - Stories,121.06,12791,127,6,488.02
2026-07-17,tiktok,Spark Ads - Launch,134.48,16601,353,7,388.46
2026-07-17,email,Newsletter - Weekly,15.89,6338,250,12,830.64
2026-07-17,affiliate,Partner - Bloggers,46.46,7078,142,6,532.86
2026-07-18,google_search,Brand - Search,80.09,5581,174,13,995.19
2026-07-18,google_search,Category - Search,178.79,12811,547,47,4887.87
2026-07-18,meta,Prospecting - Feed,209.67,16589,294,6,413.91
2026-07-18,meta,Retargeting - Stories,123.76,18994,341,10,754.18
2026-07-18,tiktok,Spark Ads - Launch,94.02,9963,203,4,230.96
2026-07-18,email,Newsletter - Weekly,16.17,5845,147,5,418
2026-07-18,affiliate,Partner - Bloggers,50.77,5820,126,6,490.94
2026-07-19,google_search,Brand - Search,182.29,15462,549,40,2887.18
2026-07-19,google_search,Category - Search,196.74,13452,763,50,5211.74
2026-07-19,meta,Prospecting - Feed,197.12,23380,261,9,520.98
2026-07-19,meta,Retargeting - Stories,151.78,23024,195,9,672.14
2026-07-19,tiktok,Spark Ads - Launch,94.86,10078,135,3,196.29
2026-07-19,email,Newsletter - Weekly,20.39,8458,219,11,860.23
2026-07-19,affiliate,Partner - Bloggers,27.28,3380,93,4,279.33
2026-07-20,google_search,Brand - Search,204.47,14364,695,45,4365.73
2026-07-20,google_search,Category - Search,86.76,8215,421,29,2681.57
2026-07-20,meta,Retargeting - Stories,178.42,24511,330,14,956.45
2026-07-20,tiktok,Spark Ads - Launch,119.58,12660,233,6,412.55
2026-07-20,email,Newsletter - Weekly,23.67,7892,301,17,1549.61
2026-07-20,affiliate,Partner - Bloggers,38.59,4963,88,4,358.22
2026-07-21,google_search,Brand - Search,125.35,7941,423,38,3787.6
2026-07-21,google_search,Category - Search,120.9,10492,406,36,3815.77
2026-07-21,meta,Prospecting - Feed,93.14,7391,112,4,341.29
2026-07-21,meta,Retargeting - Stories,72.74,9353,154,4,255.66
2026-07-21,tiktok,Spark Ads - Launch,78.02,15482,181,4,250.5
2026-07-21,affiliate,Partner - Bloggers,50.66,10589,188,8,635.23
2026-07-22,google_search,Brand - Search,247.74,22275,754,54,5424.39
2026-07-22,google_search,Category - Search,223.53,14596,860,69,6347.59
2026-07-22,meta,Retargeting - Stories,102.27,9727,106,4,280.42
2026-07-22,tiktok,Spark Ads - Launch,135.85,20693,219,5,335.52
2026-07-22,email,Newsletter - Weekly,18.74,5917,127,6,463.39
2026-07-22,affiliate,Partner - Bloggers,73.49,13244,203,8,584.04
2026-07-23,google_search,Brand - Search,253.01,27742,1448,82,6177.91
2026-07-23,google_search,Category - Search,241.36,17837,904,74,8121.77
2026-07-23,meta,Prospecting - Feed,119.73,11377,143,4,338.34
2026-07-23,meta,Retargeting - Stories,148.9,23919,240,12,1033.26
